node,inflow,supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,constraint_ok
1328,36.36948,0.0,0.0,36.36948,36.36948,36.36948,True
1329,9.9388649,0.0,0.0,9.9388649,9.9388649,9.9388649,True
1330,1571.6420799999999,0.0,0.0,1571.6421,1571.6420799999999,1571.6421,True
1331,7287.4902520099995,0.0,0.0,7287.49025,7287.4902520099995,7287.49025,True
1332,18.968234,0.0,0.0,18.968234,18.968234,18.968234,True
1333,9.6215557,0.0,0.0,9.6215557,9.6215557,9.6215557,True
1334,0.0,0.0,0.0,0.0,0.0,0.0,True
1335,308.88098,0.0,0.0,308.88098,308.88098,308.88098,True
1336,88.712322,0.0,0.0,88.712322,88.712322,88.712322,True
1337,0.0,0.0,0.0,0.0,0.0,0.0,True
1338,1120.567,0.0,0.0,1120.567,1120.567,1120.567,True
1339,0.0,0.0,0.0,0.0,0.0,0.0,True
1340,0.0,0.0,0.0,0.0,0.0,0.0,True
1341,580.05844,0.0,0.0,580.058439,580.05844,580.058439,True
1342,86.209139,0.0,0.0,86.209139,86.209139,86.209139,True
1343,0.0,0.0,0.0,0.0,0.0,0.0,True
1344,0.65307414,0.0,0.0,0.65307414,0.65307414,0.65307414,True
1345,18.849253,0.0,0.0,18.849253,18.849253,18.849253,True
1346,0.0,0.0,0.0,0.0,0.0,0.0,True
1347,0.0,0.0,0.0,0.0,0.0,0.0,True
1348,0.0,0.0,0.0,0.0,0.0,0.0,True
1349,249.70435,0.0,0.0,249.704355,249.70435,249.704355,True
1350,0.0,0.0,0.0,0.0,0.0,0.0,True
1351,22.625989999999998,0.0,0.0,22.62598981,22.625989999999998,22.62598981,True
1352,3.8486223,0.0,0.0,3.8486223,3.8486223,3.8486223,True
1353,31.8281059,0.0,0.0,31.8281063,31.8281059,31.8281063,True
1354,1e-12,0.0,0.0,1e-12,1e-12,1e-12,True
1355,357.83833,0.0,0.0,357.83833,357.83833,357.83833,True
1356,46.106505000004034,0.0,0.0,46.106505,46.106505000004034,46.106505,True
1357,588.26098,0.0,0.0,588.26098,588.26098,588.26098,True
1358,68.398279,0.0,0.0,68.398279,68.398279,68.398279,True
1359,684.45203,0.0,0.0,684.45203,684.45203,684.45203,True
1360,0.0,0.0,0.0,0.0,0.0,0.0,True
1361,0.0,0.0,0.0,0.0,0.0,0.0,True
1362,185.888451,0.0,0.0,185.88846,185.888451,185.88846,True
1363,0.63192194,0.0,0.0,0.63192194,0.63192194,0.63192194,True
1364,6.7340268,0.0,0.0,6.7340268,6.7340268,6.7340268,True
1365,785.044512,0.0,0.0,785.0445,785.044512,785.0445,True
1366,17458.1120453,0.0,0.0,17458.1115,17458.1120453,17458.1115,True
1367,101.89899,0.0,0.0,101.89899,101.89899,101.89899,True
1368,48.170462,0.0,0.0,48.170461,48.170462,48.170461,True
1369,205.790180000001,0.0,0.0,205.79018,205.790180000001,205.79018,True
1370,124.77233000000099,0.0,0.0,124.772334,124.77233000000099,124.772334,True
1371,0.0,0.0,0.0,0.0,0.0,0.0,True
